,Address,Price,NoOfBedrooms,NoOfBathrooms,AreaSqYards,WebURL
49,"North Nazimabad - Block M, North Nazimabad",10500000.0,2.0,2.0,117,https://www.zameen.com/Homes/Karachi-2-2.html
50,"Bahria Town - Precinct 31, Bahria Town Karachi",14000000.0,3.0,3.0,235,https://www.zameen.com/Homes/Karachi-2-3.html
51,"Bahria Town - Precinct 27, Bahria Town Karachi",16000000.0,3.0,3.0,235,https://www.zameen.com/Homes/Karachi-2-3.html
52,"Bahria Apartments, Bahria Town Karachi",5035000.0,1.0,1.0,59,https://www.zameen.com/Homes/Karachi-2-3.html
53,"Bahria Town - Precinct 19, Bahria Town Karachi",9000000.0,2.0,2.0,106,https://www.zameen.com/Homes/Karachi-2-3.html
54,"Bahria Town Karachi, Karachi",14800000.0,3.0,3.0,125,https://www.zameen.com/Homes/Karachi-2-3.html
55,"DHA Phase 6, DHA Defence",98500000.0,5.0,6.0,600,https://www.zameen.com/Homes/Karachi-2-3.html
56,"DHA Phase 8 - Zone A, DHA Phase 8",210000000.0,5.0,6.0,500,https://www.zameen.com/Homes/Karachi-2-3.html
57,"Bahria Town - Ali Block, Bahria Town - Precinct 12",14000000.0,3.0,3.0,125,https://www.zameen.com/Homes/Karachi-2-3.html
58,"Malir Cantonment, Cantt",9800000.0,2.0,2.0,102,https://www.zameen.com/Homes/Karachi-2-3.html
59,"Gulshan-e-Iqbal - Block 4, Gulshan-e-Iqbal",24000000.0,3.0,3.0,178,https://www.zameen.com/Homes/Karachi-2-3.html
60,"Askari 5 - Sector J, Askari 5",64100000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-3.html
61,"Askari 5 - Sector J, Askari 5",64200000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-3.html
62,"DHA Phase 5, DHA Defence",72500000.0,6.0,6.0,500,https://www.zameen.com/Homes/Karachi-2-3.html
63,"North Karachi - Sector 11A, North Karachi",11000000.0,3.0,3.0,160,https://www.zameen.com/Homes/Karachi-2-3.html
64,"North Karachi - Sector 11-C/2, North Karachi",26500000.0,4.0,5.0,120,https://www.zameen.com/Homes/Karachi-2-3.html
65,"North Karachi - Sector 11A, North Karachi",32500000.0,3.0,3.0,288,https://www.zameen.com/Homes/Karachi-2-3.html
66,"North Karachi - Sector 10, North Karachi",17800000.0,4.0,4.0,120,https://www.zameen.com/Homes/Karachi-2-3.html
67,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",21000000.0,3.0,3.0,167,https://www.zameen.com/Homes/Karachi-2-3.html
68,"North Nazimabad - Block M, North Nazimabad",10500000.0,2.0,2.0,128,https://www.zameen.com/Homes/Karachi-2-3.html
69,"Federal B Area - Block 10, Federal B Area",106000000.0,6.0,6.0,400,https://www.zameen.com/Homes/Karachi-2-3.html
70,"Rafi Premier Residency, Scheme 33",17200000.0,3.0,3.0,194,https://www.zameen.com/Homes/Karachi-2-3.html
71,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",16500000.0,2.0,2.0,122,https://www.zameen.com/Homes/Karachi-2-3.html
72,"Bukhari Commercial Area, DHA Phase 6",17000000.0,3.0,3.0,128,https://www.zameen.com/Homes/Karachi-2-3.html
