,Address,Price,NoOfBedrooms,NoOfBathrooms,AreaSqYards,WebURL
4592,"Falcon Complex New Malir, Malir",72000000.0,5.0,6.0,350,https://www.zameen.com/Homes/Karachi-2-184.html
4593,"Navy Housing Scheme Karsaz, Karachi",82500000.0,5.0,6.0,467,https://www.zameen.com/Homes/Karachi-2-184.html
4594,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2",17700000.0,3.0,3.0,150,https://www.zameen.com/Homes/Karachi-2-184.html
4595,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2",17700000.0,3.0,3.0,150,https://www.zameen.com/Homes/Karachi-2-184.html
4596,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2",17700000.0,3.0,3.0,150,https://www.zameen.com/Homes/Karachi-2-184.html
4597,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2",17700000.0,3.0,3.0,150,https://www.zameen.com/Homes/Karachi-2-184.html
4598,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",61000000.0,5.0,5.0,400,https://www.zameen.com/Homes/Karachi-2-184.html
4599,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2",17600000.0,3.0,3.0,150,https://www.zameen.com/Homes/Karachi-2-184.html
4600,"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town",9600000.0,3.0,3.0,156,https://www.zameen.com/Homes/Karachi-2-185.html
4601,"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town",9500000.0,2.0,2.0,100,https://www.zameen.com/Homes/Karachi-2-185.html
4602,"Gulistan-e-Jauhar - Block 18, Gulistan-e-Jauhar",11500000.0,3.0,3.0,157,https://www.zameen.com/Homes/Karachi-2-185.html
4603,"Falaknaz Presidency, Malir",9200000.0,2.0,2.0,122,https://www.zameen.com/Homes/Karachi-2-185.html
4604,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",16000000.0,3.0,3.0,160,https://www.zameen.com/Homes/Karachi-2-185.html
4605,"Al-Murtaza Commercial Area, DHA Phase 8",30000000.0,3.0,4.0,178,https://www.zameen.com/Homes/Karachi-2-185.html
4606,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",25000000.0,4.0,4.0,233,https://www.zameen.com/Homes/Karachi-2-185.html
4607,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",16500000.0,3.0,3.0,160,https://www.zameen.com/Homes/Karachi-2-185.html
4608,"Federal B Area - Block 8, Federal B Area",16500000.0,3.0,4.0,185,https://www.zameen.com/Homes/Karachi-2-185.html
4609,"Federal B Area - Block 8, Federal B Area",11500000.0,2.0,2.0,139,https://www.zameen.com/Homes/Karachi-2-185.html
4610,"DHA Phase 8, DHA Defence",33000000.0,2.0,3.0,194,https://www.zameen.com/Homes/Karachi-2-185.html
4611,"Saima Luxury Homes, Karachi",15000000.0,2.0,2.0,120,https://www.zameen.com/Homes/Karachi-2-185.html
4612,"Saima Luxury Homes, Karachi",28500000.0,4.0,4.0,240,https://www.zameen.com/Homes/Karachi-2-185.html
4613,"Saima Luxury Homes, Karachi",19000000.0,3.0,3.0,160,https://www.zameen.com/Homes/Karachi-2-185.html
4614,"Askari 5 - Sector J, Askari 5",33500000.0,3.0,3.0,300,https://www.zameen.com/Homes/Karachi-2-185.html
4615,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286,https://www.zameen.com/Homes/Karachi-2-185.html
4616,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar",24000000.0,4.0,5.0,300,https://www.zameen.com/Homes/Karachi-2-185.html
4617,"Navy Housing Scheme Karsaz, Karachi",82500000.0,5.0,6.0,467,https://www.zameen.com/Homes/Karachi-2-185.html
4618,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2",17700000.0,3.0,3.0,150,https://www.zameen.com/Homes/Karachi-2-185.html
4619,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2",17700000.0,3.0,3.0,150,https://www.zameen.com/Homes/Karachi-2-185.html
4620,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2",17700000.0,3.0,3.0,150,https://www.zameen.com/Homes/Karachi-2-185.html
4621,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2",17700000.0,3.0,3.0,150,https://www.zameen.com/Homes/Karachi-2-185.html
4622,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",61000000.0,5.0,5.0,400,https://www.zameen.com/Homes/Karachi-2-185.html
4623,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2",17600000.0,3.0,3.0,150,https://www.zameen.com/Homes/Karachi-2-185.html
4624,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2",17600000.0,3.0,3.0,150,https://www.zameen.com/Homes/Karachi-2-185.html
4625,"Askari 5 - Sector J, Askari 5",67000000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-186.html
4626,"Gulshan-e-Iqbal - Block 13/D-3, Gulshan-e-Iqbal",24000000.0,4.0,5.0,261,https://www.zameen.com/Homes/Karachi-2-186.html
4627,"Askari 5 - Sector J, Askari 5",65000000.0,5.0,6.0,375,https://www.zameen.com/Homes/Karachi-2-186.html
4628,"Askari 5 - Sector J, Askari 5",64000000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-186.html
4629,"North Karachi, Karachi",5700000.0,5.0,2.0,133,https://www.zameen.com/Homes/Karachi-2-186.html
4630,"Diamond City, Gulshan-e-Maymar",4200000.0,4.0,2.0,111,https://www.zameen.com/Homes/Karachi-2-186.html
4631,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",58500000.0,7.0,6.0,400,https://www.zameen.com/Homes/Karachi-2-186.html
4632,"DHA Phase 8, DHA Defence",200000000.0,9.0,6.0,1,https://www.zameen.com/Homes/Karachi-2-186.html
4633,"DHA Phase 6, DHA Defence",115000000.0,6.0,6.0,500,https://www.zameen.com/Homes/Karachi-2-186.html
4634,"Shahra-e-Faisal, Karachi",29000000.0,4.0,3.0,233,https://www.zameen.com/Homes/Karachi-2-186.html
4635,"Rashid Minhas Road, Karachi",8800000.0,2.0,2.0,100,https://www.zameen.com/Homes/Karachi-2-186.html
4636,"Allahwala Town - Sector 31-G, Allahwala Town",2000000.0,2.0,1.0,50,https://www.zameen.com/Homes/Karachi-2-186.html
4637,"Clifton - Block 5, Clifton",40000000.0,3.0,3.0,222,https://www.zameen.com/Homes/Karachi-2-186.html
4638,"Bahria Apartments, Bahria Town Karachi",4200000.0,1.0,1.0,58,https://www.zameen.com/Homes/Karachi-2-186.html
4639,"Bahria Town - Ali Block, Bahria Town - Precinct 12",14000000.0,,0.0,0,https://www.zameen.com/Homes/Karachi-2-186.html
4640,"Bahria Sports City, Bahria Town Karachi",20000000.0,,0.0,0,https://www.zameen.com/Homes/Karachi-2-186.html
4641,"DHA Phase 4, DHA Defence",78500000.0,4.0,6.0,400,https://www.zameen.com/Homes/Karachi-2-186.html
4642,"Navy Housing Scheme Karsaz, Karachi",85000000.0,5.0,6.0,467,https://www.zameen.com/Homes/Karachi-2-186.html
4643,"Navy Housing Scheme Karsaz, Karachi",82500000.0,5.0,6.0,467,https://www.zameen.com/Homes/Karachi-2-186.html
4644,"Navy Housing Scheme Karsaz, Karachi",95000000.0,5.0,6.0,467,https://www.zameen.com/Homes/Karachi-2-186.html
4645,"Navy Housing Scheme Karsaz, Karachi",92500000.0,5.0,6.0,467,https://www.zameen.com/Homes/Karachi-2-186.html
4646,"Navy Housing Scheme Karsaz, Karachi",90000000.0,5.0,6.0,467,https://www.zameen.com/Homes/Karachi-2-186.html
4647,"Navy Housing Scheme Karsaz, Karachi",87500000.0,5.0,6.0,467,https://www.zameen.com/Homes/Karachi-2-186.html
4648,"Navy Housing Scheme Karsaz, Karachi",85000000.0,5.0,6.0,467,https://www.zameen.com/Homes/Karachi-2-186.html
4649,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",57500000.0,7.0,6.0,240,https://www.zameen.com/Homes/Karachi-2-186.html
4650,"DHA Phase 2 Extension, DHA Defence",21000000.0,3.0,3.0,200,https://www.zameen.com/Homes/Karachi-2-187.html
4651,"DHA Phase 2 Extension, DHA Defence",19500000.0,4.0,4.0,200,https://www.zameen.com/Homes/Karachi-2-187.html
4652,"DHA Phase 2 Extension, DHA Defence",45000000.0,4.0,4.0,100,https://www.zameen.com/Homes/Karachi-2-187.html
4653,"Askari 5, Malir Cantonment",42500000.0,4.0,5.0,333,https://www.zameen.com/Homes/Karachi-2-187.html
4654,"Garden East, Jamshed Town",34500000.0,3.0,3.0,182,https://www.zameen.com/Homes/Karachi-2-187.html
4655,"Navy Housing Scheme Karsaz, Karachi",122000000.0,5.0,5.0,350,https://www.zameen.com/Homes/Karachi-2-187.html
4656,"Navy Housing Scheme Karsaz, Karachi",98000000.0,5.0,5.0,350,https://www.zameen.com/Homes/Karachi-2-187.html
4657,"Emaar Panorama, DHA Phase 8",63000000.0,1.0,1.0,153,https://www.zameen.com/Homes/Karachi-2-187.html
4658,"Bahria Town - Precinct 2, Bahria Town Karachi",41100000.0,3.0,3.0,304,https://www.zameen.com/Homes/Karachi-2-187.html
4659,"Bahria Town - Precinct 2, Bahria Town Karachi",46200000.0,3.0,3.0,342,https://www.zameen.com/Homes/Karachi-2-187.html
4660,"Bahria Town - Precinct 2, Bahria Town Karachi",25000000.0,3.0,3.0,265,https://www.zameen.com/Homes/Karachi-2-187.html
4661,"Bahria Town - Precinct 2, Bahria Town Karachi",20200000.0,3.0,2.0,213,https://www.zameen.com/Homes/Karachi-2-187.html
4662,"Bahria Town - Precinct 2, Bahria Town Karachi",25900000.0,2.0,2.0,294,https://www.zameen.com/Homes/Karachi-2-187.html
4663,"Bahria Town - Precinct 2, Bahria Town Karachi",14800000.0,2.0,2.0,157,https://www.zameen.com/Homes/Karachi-2-187.html
4664,"Emaar The Views, DHA Phase 8",86000000.0,2.0,3.0,205,https://www.zameen.com/Homes/Karachi-2-187.html
4665,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",25500000.0,,0.0,0,https://www.zameen.com/Homes/Karachi-2-187.html
4666,"Emaar The Views, DHA Phase 8",224300000.0,4.0,4.0,412,https://www.zameen.com/Homes/Karachi-2-187.html
4667,"Navy Housing Scheme Karsaz, Karachi",82500000.0,5.0,6.0,467,https://www.zameen.com/Homes/Karachi-2-187.html
4668,"Navy Housing Scheme Karsaz, Karachi",95000000.0,5.0,6.0,467,https://www.zameen.com/Homes/Karachi-2-187.html
4669,"Navy Housing Scheme Karsaz, Karachi",92500000.0,5.0,6.0,467,https://www.zameen.com/Homes/Karachi-2-187.html
4670,"Navy Housing Scheme Karsaz, Karachi",90000000.0,5.0,6.0,467,https://www.zameen.com/Homes/Karachi-2-187.html
4671,"Navy Housing Scheme Karsaz, Karachi",87500000.0,5.0,6.0,467,https://www.zameen.com/Homes/Karachi-2-187.html
4672,"Navy Housing Scheme Karsaz, Karachi",85000000.0,5.0,6.0,467,https://www.zameen.com/Homes/Karachi-2-187.html
4673,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",57500000.0,7.0,6.0,240,https://www.zameen.com/Homes/Karachi-2-187.html
4674,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar",11500000.0,2.0,3.0,150,https://www.zameen.com/Homes/Karachi-2-187.html
4675,"Emaar The Views, DHA Phase 8",155000000.0,3.0,3.0,309,https://www.zameen.com/Homes/Karachi-2-188.html
4676,"Emaar The Views, DHA Phase 8",91000000.0,2.0,2.0,203,https://www.zameen.com/Homes/Karachi-2-188.html
4677,"Emaar The Views, DHA Phase 8",62000000.0,1.0,1.0,161,https://www.zameen.com/Homes/Karachi-2-188.html
4678,"Emaar The Views, DHA Phase 8",115000000.0,3.0,3.0,289,https://www.zameen.com/Homes/Karachi-2-188.html
4679,"Emaar The Views, DHA Phase 8",85000000.0,2.0,2.0,201,https://www.zameen.com/Homes/Karachi-2-188.html
4680,"Gulshan-e-Iqbal - Block 13/A, Gulshan-e-Iqbal",5500000.0,2.0,2.0,72,https://www.zameen.com/Homes/Karachi-2-188.html
4681,"DHA Phase 2, DHA Defence",81500000.0,4.0,5.0,500,https://www.zameen.com/Homes/Karachi-2-188.html
4682,"DHA Phase 6, DHA Defence",82500000.0,4.0,5.0,500,https://www.zameen.com/Homes/Karachi-2-188.html
4683,"DHA Phase 5, DHA Defence",91500000.0,4.0,5.0,500,https://www.zameen.com/Homes/Karachi-2-188.html
4684,"DHA Phase 5, DHA Defence",120000000.0,6.0,7.0,611,https://www.zameen.com/Homes/Karachi-2-188.html
4685,"DHA Phase 2, DHA Defence",140000000.0,9.0,9.0,600,https://www.zameen.com/Homes/Karachi-2-188.html
4686,"DHA Phase 5, DHA Defence",80000000.0,5.0,6.0,600,https://www.zameen.com/Homes/Karachi-2-188.html
4687,"DHA Phase 6, DHA Defence",94000000.0,5.0,6.0,611,https://www.zameen.com/Homes/Karachi-2-188.html
4688,"DHA Phase 6, DHA Defence",145000000.0,7.0,8.0,1,https://www.zameen.com/Homes/Karachi-2-188.html
4689,"DHA Phase 4, DHA Defence",145000000.0,6.0,7.0,667,https://www.zameen.com/Homes/Karachi-2-188.html
4690,"DHA Phase 6, DHA Defence",124000000.0,4.0,5.0,644,https://www.zameen.com/Homes/Karachi-2-188.html
4691,"DHA Phase 7, DHA Defence",99900000.0,5.0,6.0,500,https://www.zameen.com/Homes/Karachi-2-188.html
4692,"Askari 5 - Sector J, Askari 5",38500000.0,3.0,3.0,300,https://www.zameen.com/Homes/Karachi-2-188.html
4693,"Gulshan-e-Jamal, Gulshan-e-Iqbal Town",120000000.0,3.0,3.0,300,https://www.zameen.com/Homes/Karachi-2-188.html
4694,"Askari 5 - Sector J, Askari 5",37500000.0,3.0,3.0,300,https://www.zameen.com/Homes/Karachi-2-188.html
4695,"Bahria Apartments, Bahria Town Karachi",18300000.0,3.0,3.0,300,https://www.zameen.com/Homes/Karachi-2-188.html
4696,"Gulistan-e-Jauhar, Karachi",107500000.0,7.0,7.0,600,https://www.zameen.com/Homes/Karachi-2-188.html
4697,"Askari 5 - Sector J, Askari 5",39000000.0,3.0,3.0,300,https://www.zameen.com/Homes/Karachi-2-188.html
4698,"Gulistan-e-Jauhar - Block 1-A, Gulistan-e-Jauhar",26000000.0,3.0,3.0,300,https://www.zameen.com/Homes/Karachi-2-188.html
4699,"Gulistan-e-Jauhar, Karachi",75000000.0,7.0,7.0,450,https://www.zameen.com/Homes/Karachi-2-188.html
4700,"North Nazimabad - Block J, North Nazimabad",75000000.0,7.0,6.0,233,https://www.zameen.com/Homes/Karachi-2-189.html
4701,"Clifton, Karachi",32500000.0,2.0,3.0,133,https://www.zameen.com/Homes/Karachi-2-189.html
4702,"Gulshan-e-Roomi, Faisal Cantonment",10000000.0,2.0,2.0,129,https://www.zameen.com/Homes/Karachi-2-189.html
4703,"Gulshan-e-Roomi, Faisal Cantonment",10500000.0,2.0,2.0,129,https://www.zameen.com/Homes/Karachi-2-189.html
4704,"Clifton - Block 2, Clifton",52500000.0,3.0,4.0,244,https://www.zameen.com/Homes/Karachi-2-189.html
4705,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",15000000.0,2.0,2.0,120,https://www.zameen.com/Homes/Karachi-2-189.html
4706,"Badar Commercial Area, DHA Phase 5",18000000.0,4.0,5.0,200,https://www.zameen.com/Homes/Karachi-2-189.html
4707,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",60000000.0,7.0,6.0,400,https://www.zameen.com/Homes/Karachi-2-189.html
4708,"North Nazimabad - Block L, North Nazimabad",14500000.0,3.0,3.0,200,https://www.zameen.com/Homes/Karachi-2-189.html
4709,"North Nazimabad - Block H, North Nazimabad",38000000.0,6.0,6.0,233,https://www.zameen.com/Homes/Karachi-2-189.html
4710,"Shaheed Millat Road, Karachi",40000000.0,3.0,4.0,200,https://www.zameen.com/Homes/Karachi-2-189.html
4711,"Works Cooperative Housing Society, Gulistan-e-Jauhar - Block 4",63500000.0,10.0,6.0,240,https://www.zameen.com/Homes/Karachi-2-189.html
4712,"DHA Phase 7 Extension, DHA Defence",37000000.0,3.0,3.0,100,https://www.zameen.com/Homes/Karachi-2-189.html
4713,"Karachi Administration Employees Society, Jamshed Town",27500000.0,4.0,4.0,200,https://www.zameen.com/Homes/Karachi-2-189.html
4714,"Karachi Administration Employees Society, Jamshed Town",14000000.0,3.0,3.0,128,https://www.zameen.com/Homes/Karachi-2-189.html
4715,"Karachi Administration Employees Society, Jamshed Town",13500000.0,2.0,2.0,110,https://www.zameen.com/Homes/Karachi-2-189.html
4716,"Karachi Administration Employees Society, Jamshed Town",15000000.0,3.0,3.0,133,https://www.zameen.com/Homes/Karachi-2-189.html
4717,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",11500000.0,3.0,3.0,144,https://www.zameen.com/Homes/Karachi-2-189.html
4718,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",52500000.0,,0.0,0,https://www.zameen.com/Homes/Karachi-2-189.html
4719,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",62500000.0,,0.0,0,https://www.zameen.com/Homes/Karachi-2-189.html
4720,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",8000000.0,,0.0,0,https://www.zameen.com/Homes/Karachi-2-189.html
4721,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",11500000.0,3.0,3.0,144,https://www.zameen.com/Homes/Karachi-2-189.html
4722,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",52500000.0,,0.0,0,https://www.zameen.com/Homes/Karachi-2-189.html
4723,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",62500000.0,,0.0,0,https://www.zameen.com/Homes/Karachi-2-189.html
4724,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",8000000.0,,0.0,0,https://www.zameen.com/Homes/Karachi-2-189.html
4725,"DHA Phase 5, DHA Defence",119900000.0,5.0,6.0,500,https://www.zameen.com/Homes/Karachi-2-190.html
4726,"DHA Phase 7, DHA Defence",58500000.0,4.0,5.0,250,https://www.zameen.com/Homes/Karachi-2-190.html
4727,"PECHS Block 2, PECHS",30000000.0,3.0,4.0,400,https://www.zameen.com/Homes/Karachi-2-190.html
4728,"Bath Island, Karachi",40000000.0,3.0,4.0,222,https://www.zameen.com/Homes/Karachi-2-190.html
4729,"Bahria Town - Precinct 18, Bahria Town Karachi",120000000.0,10.0,6.0,2,https://www.zameen.com/Homes/Karachi-2-190.html
4730,"Bahria Town - Precinct 9, Bahria Town Karachi",120000000.0,10.0,6.0,2,https://www.zameen.com/Homes/Karachi-2-190.html
4731,"Bahria Town - Precinct 3, Bahria Town Karachi",120000000.0,10.0,6.0,2,https://www.zameen.com/Homes/Karachi-2-190.html
4732,"Clifton, Karachi",120000000.0,5.0,6.0,500,https://www.zameen.com/Homes/Karachi-2-190.html
4733,"DHA Phase 5, DHA Defence",93000000.0,4.0,5.0,500,https://www.zameen.com/Homes/Karachi-2-190.html
4734,"North Nazimabad - Block J, North Nazimabad",75000000.0,7.0,6.0,233,https://www.zameen.com/Homes/Karachi-2-190.html
4735,"Clifton, Karachi",32500000.0,2.0,3.0,133,https://www.zameen.com/Homes/Karachi-2-190.html
4736,"Gulshan-e-Roomi, Faisal Cantonment",10000000.0,2.0,2.0,129,https://www.zameen.com/Homes/Karachi-2-190.html
4737,"Gulshan-e-Roomi, Faisal Cantonment",10500000.0,2.0,2.0,129,https://www.zameen.com/Homes/Karachi-2-190.html
4738,"Clifton - Block 2, Clifton",52500000.0,3.0,4.0,244,https://www.zameen.com/Homes/Karachi-2-190.html
4739,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",15000000.0,2.0,2.0,120,https://www.zameen.com/Homes/Karachi-2-190.html
4740,"Badar Commercial Area, DHA Phase 5",18000000.0,4.0,5.0,200,https://www.zameen.com/Homes/Karachi-2-190.html
4741,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",60000000.0,7.0,6.0,400,https://www.zameen.com/Homes/Karachi-2-190.html
4742,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",69500000.0,6.0,8.0,400,https://www.zameen.com/Homes/Karachi-2-190.html
4743,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",28000000.0,3.0,3.0,200,https://www.zameen.com/Homes/Karachi-2-190.html
4744,"Bahria Apartments, Bahria Town Karachi",8200000.0,2.0,2.0,106,https://www.zameen.com/Homes/Karachi-2-190.html
4745,"Bahria Town - Precinct 9, Bahria Town Karachi",50000000.0,5.0,5.0,500,https://www.zameen.com/Homes/Karachi-2-190.html
4746,"Bahria Town - Precinct 9, Bahria Town Karachi",50000000.0,5.0,5.0,500,https://www.zameen.com/Homes/Karachi-2-190.html
4747,"Bahria Town - Precinct 9, Bahria Town Karachi",50000000.0,5.0,5.0,500,https://www.zameen.com/Homes/Karachi-2-190.html
4748,"Bahria Town - Precinct 9, Bahria Town Karachi",50000000.0,5.0,5.0,500,https://www.zameen.com/Homes/Karachi-2-190.html
4749,"Gulshan-e-Jamal, Gulshan-e-Iqbal Town",95000000.0,6.0,6.0,500,https://www.zameen.com/Homes/Karachi-2-190.html
4750,"North Nazimabad - Block L, North Nazimabad",14500000.0,3.0,3.0,200,https://www.zameen.com/Homes/Karachi-2-191.html
4751,"North Nazimabad - Block H, North Nazimabad",38000000.0,6.0,6.0,233,https://www.zameen.com/Homes/Karachi-2-191.html
4752,"Shaheed Millat Road, Karachi",40000000.0,3.0,4.0,200,https://www.zameen.com/Homes/Karachi-2-191.html
4753,"Works Cooperative Housing Society, Gulistan-e-Jauhar - Block 4",63500000.0,10.0,6.0,240,https://www.zameen.com/Homes/Karachi-2-191.html
4754,"DHA Phase 7 Extension, DHA Defence",37000000.0,3.0,3.0,100,https://www.zameen.com/Homes/Karachi-2-191.html
4755,"Karachi Administration Employees Society, Jamshed Town",27500000.0,4.0,4.0,200,https://www.zameen.com/Homes/Karachi-2-191.html
4756,"Karachi Administration Employees Society, Jamshed Town",14000000.0,3.0,3.0,128,https://www.zameen.com/Homes/Karachi-2-191.html
4757,"Karachi Administration Employees Society, Jamshed Town",13500000.0,2.0,2.0,110,https://www.zameen.com/Homes/Karachi-2-191.html
4758,"Karachi Administration Employees Society, Jamshed Town",15000000.0,3.0,3.0,133,https://www.zameen.com/Homes/Karachi-2-191.html
4759,"Malir, Karachi",13000000.0,8.0,6.0,115,https://www.zameen.com/Homes/Karachi-2-191.html
4760,"Gohar Green City, Karachi",14500000.0,3.0,3.0,120,https://www.zameen.com/Homes/Karachi-2-191.html
4761,"DHA Phase 7 Extension, DHA Defence",42000000.0,4.0,4.0,120,https://www.zameen.com/Homes/Karachi-2-191.html
4762,"DHA Phase 7 Extension, DHA Defence",35000000.0,3.0,4.0,100,https://www.zameen.com/Homes/Karachi-2-191.html
4763,"DHA Phase 4, DHA Defence",78000000.0,4.0,5.0,300,https://www.zameen.com/Homes/Karachi-2-191.html
4764,"DHA Phase 6, DHA Defence",68000000.0,4.0,5.0,300,https://www.zameen.com/Homes/Karachi-2-191.html
4765,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal",25000000.0,3.0,3.0,240,https://www.zameen.com/Homes/Karachi-2-191.html
4766,"Bahria Paradise, Bahria Town Karachi",42500000.0,,0.0,0,https://www.zameen.com/Homes/Karachi-2-191.html
4767,"Navy Housing Scheme Karsaz, Karachi",105000000.0,5.0,6.0,350,https://www.zameen.com/Homes/Karachi-2-191.html
4768,"Navy Housing Scheme Karsaz, Karachi",105000000.0,5.0,6.0,350,https://www.zameen.com/Homes/Karachi-2-191.html
4769,"Navy Housing Scheme Karsaz, Karachi",105000000.0,5.0,6.0,350,https://www.zameen.com/Homes/Karachi-2-191.html
4770,"Navy Housing Scheme Karsaz, Karachi",105000000.0,5.0,6.0,350,https://www.zameen.com/Homes/Karachi-2-191.html
4771,"Falaknaz Dreams, Malir",4800000.0,,0.0,0,https://www.zameen.com/Homes/Karachi-2-191.html
4772,"Navy Housing Scheme Karsaz, Karachi",105000000.0,5.0,6.0,350,https://www.zameen.com/Homes/Karachi-2-191.html
4773,"Navy Housing Scheme Karsaz, Karachi",105000000.0,5.0,6.0,350,https://www.zameen.com/Homes/Karachi-2-191.html
4774,"Navy Housing Scheme Karsaz, Karachi",105000000.0,5.0,6.0,350,https://www.zameen.com/Homes/Karachi-2-191.html
4775,"Bahria Apartments, Bahria Town Karachi",4700000.0,2.0,1.0,58,https://www.zameen.com/Homes/Karachi-2-192.html
4776,"DHA Phase 6, DHA Defence",125000000.0,6.0,6.0,500,https://www.zameen.com/Homes/Karachi-2-192.html
4777,"DHA Phase 8, DHA Defence",110000000.0,6.0,6.0,500,https://www.zameen.com/Homes/Karachi-2-192.html
4778,"DHA Phase 8, DHA Defence",110000000.0,6.0,6.0,500,https://www.zameen.com/Homes/Karachi-2-192.html
4779,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",8200000.0,2.0,2.0,103,https://www.zameen.com/Homes/Karachi-2-192.html
4780,"Tulip Tower, Saadi Road",21000000.0,3.0,3.0,214,https://www.zameen.com/Homes/Karachi-2-192.html
4781,"Scheme 33, Karachi",30000000.0,4.0,5.0,356,https://www.zameen.com/Homes/Karachi-2-192.html
4782,"Saadi Town - Block 3, Saadi Town",22500000.0,4.0,5.0,120,https://www.zameen.com/Homes/Karachi-2-192.html
4783,"Saadi Garden - Block 1, Saadi Garden",19000000.0,4.0,5.0,120,https://www.zameen.com/Homes/Karachi-2-192.html
4784,"Saadi Road, Karachi",7200000.0,2.0,2.0,83,https://www.zameen.com/Homes/Karachi-2-192.html
4785,"Rafi Premier Residency, Scheme 33",14500000.0,3.0,2.0,161,https://www.zameen.com/Homes/Karachi-2-192.html
4786,"Scheme 33, Karachi",13500000.0,3.0,3.0,150,https://www.zameen.com/Homes/Karachi-2-192.html
4787,"Scheme 33, Karachi",9500000.0,2.0,2.0,100,https://www.zameen.com/Homes/Karachi-2-192.html
4788,"DHA Phase 4, DHA Defence",33000000.0,3.0,4.0,200,https://www.zameen.com/Homes/Karachi-2-192.html
4789,"Nazimabad, Karachi",23500000.0,4.0,4.0,216,https://www.zameen.com/Homes/Karachi-2-192.html
4790,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",48000000.0,6.0,6.0,200,https://www.zameen.com/Homes/Karachi-2-192.html
4791,"Gulistan-e-Jauhar, Karachi",40000000.0,6.0,6.0,272,https://www.zameen.com/Homes/Karachi-2-192.html
4792,"Falaknaz Presidency, Malir",10500000.0,2.0,2.0,128,https://www.zameen.com/Homes/Karachi-2-192.html
4793,"Ilyas Goth, Korangi",1400000.0,1.0,1.0,40,https://www.zameen.com/Homes/Karachi-2-192.html
4794,"Falaknaz Presidency, Malir",10500000.0,2.0,2.0,128,https://www.zameen.com/Homes/Karachi-2-192.html
4795,"Falaknaz Presidency, Malir",10500000.0,2.0,2.0,128,https://www.zameen.com/Homes/Karachi-2-192.html
4796,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal",140000000.0,,0.0,0,https://www.zameen.com/Homes/Karachi-2-192.html
4797,"Falaknaz Presidency, Malir",10500000.0,2.0,2.0,128,https://www.zameen.com/Homes/Karachi-2-192.html
4798,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal",140000000.0,,0.0,0,https://www.zameen.com/Homes/Karachi-2-192.html
4799,"Falaknaz Presidency, Malir",10500000.0,2.0,2.0,128,https://www.zameen.com/Homes/Karachi-2-192.html
4800,"DHA Phase 5 Extension, DHA Phase 5",29000000.0,3.0,4.0,222,https://www.zameen.com/Homes/Karachi-2-193.html
