,Address,Price,NoOfBedrooms,NoOfBathrooms,AreaSqYards
3915,"Scheme 33, Karachi",20000000.0,3.0,3.0,120
3916,"Lateef Duplex Luxuria, Scheme 33 - Sector 35-A",23000000.0,4.0,4.0,267
3917,other,30000000.0,3.0,3.0,172
3918,"Gulistan-e-Jauhar - Block 19, Gulistan-e-Jauhar",7400000.0,2.0,2.0,100
3919,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar",24200000.0,4.0,4.0,300
3920,"Scheme 33, Karachi",25800000.0,4.0,4.0,120
3921,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",62500000.0,8.0,6.0,300
3922,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar",79500000.0,10.0,6.0,400
3923,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",17500000.0,3.0,3.0,185
3925,"DHA Phase 8, DHA Defence",135000000.0,6.0,6.0,500
3926,"Saadi Town - Block 3, Saadi Town",20000000.0,4.0,4.0,120
3927,"Sector 25-A - Punjabi Saudagar Multi Purpose Society, Scheme 33 - Sector 25-A",46000000.0,6.0,6.0,240
3928,"Scheme 33, Karachi",26000000.0,6.0,6.0,120
3930,"DHA Phase 8 - Zone A, DHA Phase 8",170000000.0,6.0,6.0,550
3931,"DHA Phase 7, DHA Defence",140000000.0,6.0,6.0,500
3932,"DHA Phase 4, DHA Defence",54000000.0,4.0,4.0,300
3933,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal",69000000.0,3.0,4.0,400
3934,"Gulshan-e-Iqbal - Block 16, Gulshan-e-Iqbal",35000000.0,3.0,3.0,200
3935,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal",110000000.0,6.0,6.0,400
3936,"DHA Phase 6, DHA Defence",92500000.0,6.0,6.0,500
3937,"Falcon Complex New Malir, Malir",81500000.0,5.0,5.0,500
3938,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",67500000.0,6.0,6.0,240
3939,"Gulshan-e-Iqbal - Block 17, Gulshan-e-Iqbal",72500000.0,6.0,6.0,240
3940,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",9000000.0,2.0,2.0,100
3941,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",75000000.0,7.0,8.0,240
3942,"Shaz Residency, Gulshan-e-Iqbal Town",7000000.0,2.0,2.0,83
3943,"Amil Colony, Karachi",19000000.0,2.0,3.0,108
3944,"DHA Phase 5, DHA Defence",125000000.0,5.0,6.0,500
3945,other,9500000.0,3.0,3.0,128
3946,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",7650000.0,2.0,2.0,94
3947,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",5500000.0,2.0,2.0,70
3948,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",6659999.999999999,1.0,1.0,74
3949,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",17200000.0,3.0,3.0,191
3950,"DHA Phase 6, DHA Defence",130000000.0,6.0,6.0,600
3951,"DHA Phase 4, DHA Defence",135000000.0,6.0,7.0,650
3952,"DHA Phase 7 Extension, DHA Defence",38000000.0,4.0,5.0,100
3953,"DHA Phase 8, DHA Defence",39000000.0,4.0,4.0,100
3954,"Gulshan-e-Iqbal Town, Karachi",27500000.0,3.0,3.0,120
3955,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",8700000.0,2.0,2.0,106
3956,"Saadi Town, Scheme 33",32000000.0,10.0,6.0,240
3957,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A",37900000.0,9.0,6.0,240
3959,other,27000000.0,4.0,5.0,120
3960,other,60000000.0,3.0,4.0,267
3961,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",35000000.0,4.0,5.0,267
3962,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",28000000.0,3.0,3.0,183
3963,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",10500000.0,2.0,2.0,111
3964,"Hill Park, Karachi",26000000.0,2.0,2.0,133
3965,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",23000000.0,3.0,3.0,189
3966,"Clifton - Block 5, Clifton",45000000.0,3.0,3.0,222
3967,"DHA Phase 6, DHA Defence",15500000.0,2.0,2.0,106
3968,other,66000000.0,6.0,6.0,330
3969,"Gulshan-e-Jamal, Gulshan-e-Iqbal Town",17000000.0,3.0,3.0,150
3970,other,15000000.0,3.0,3.0,156
3971,"Gulistan-e-Jauhar - Block 19, Gulistan-e-Jauhar",6200000.0,3.0,3.0,111
3975,"DHA Phase 4, DHA Defence",54000000.0,4.0,4.0,300
3976,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal",69000000.0,3.0,4.0,400
3977,"Gulshan-e-Iqbal - Block 16, Gulshan-e-Iqbal",35000000.0,3.0,3.0,200
3978,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal",110000000.0,6.0,6.0,400
3979,"DHA Phase 6, DHA Defence",92500000.0,6.0,6.0,500
3980,"Falcon Complex New Malir, Malir",81500000.0,5.0,5.0,500
3981,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",67500000.0,6.0,6.0,240
3982,"Gulshan-e-Iqbal - Block 17, Gulshan-e-Iqbal",72500000.0,6.0,6.0,240
3983,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",9000000.0,2.0,2.0,100
3984,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",75000000.0,7.0,8.0,240
3985,"DHA Phase 6, DHA Defence",130000000.0,6.0,6.0,600
3986,"DHA Phase 4, DHA Defence",135000000.0,6.0,7.0,650
3987,"DHA Phase 7 Extension, DHA Defence",38000000.0,4.0,5.0,100
3988,"DHA Phase 8, DHA Defence",39000000.0,4.0,4.0,100
3989,"Gulshan-e-Iqbal Town, Karachi",27500000.0,3.0,3.0,120
3990,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",8700000.0,2.0,2.0,106
3991,"Saadi Town, Scheme 33",32000000.0,10.0,6.0,240
3992,"Gulshan-e-Roomi, Faisal Cantonment",19500000.0,5.0,6.0,200
3993,"Shadman Town - Sector-14/B, Shadman",36000000.0,5.0,5.0,200
3994,other,21000000.0,4.0,4.0,120
3995,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",18500000.0,3.0,3.0,178
3998,other,14500000.0,2.0,2.0,135
3999,other,4100000.0,3.0,3.0,80
4000,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A",37900000.0,9.0,6.0,240
4002,other,27000000.0,4.0,5.0,120
4003,other,60000000.0,3.0,4.0,267
4004,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",35000000.0,4.0,5.0,267
4005,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",28000000.0,3.0,3.0,183
4006,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",10500000.0,2.0,2.0,111
4007,"Hill Park, Karachi",26000000.0,2.0,2.0,133
4008,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",23000000.0,3.0,3.0,189
4009,"Clifton - Block 5, Clifton",45000000.0,3.0,3.0,222
4010,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",11000000.0,3.0,3.0,200
4011,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",38500000.0,7.0,6.0,150
4012,"Daniyal Residency, Scheme 33",6500000.0,2.0,2.0,83
4013,"Clifton, Karachi",13000000.0,2.0,2.0,133
4014,"Chapal Courtyard, Karachi",10000000.0,2.0,2.0,117
4015,"Clifton, Karachi",10000000.0,2.0,2.0,117
4016,"Clifton, Karachi",16000000.0,3.0,3.0,183
4017,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",60000000.0,3.0,3.0,400
4018,"DHA Phase 4, DHA Defence",92500000.0,5.0,5.0,300
4019,other,8500000.0,2.0,2.0,100
4020,other,8200000.0,5.0,4.0,80
4021,other,12000000.0,6.0,5.0,80
4022,"Tariq Road, Karachi",35000000.0,2.0,3.0,131
4023,"North Nazimabad - Block L, North Nazimabad",14000000.0,2.0,2.0,111
4024,"North Nazimabad - Block M, North Nazimabad",6500000.0,2.0,2.0,106
4025,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",7500000.0,2.0,2.0,80
4026,"Diamond Residency, Defence View Phase 2",6500000.0,2.0,2.0,80
4027,"Diamond Residency, Defence View Phase 2",7500000.0,2.0,2.0,80
4028,"Diamond Residency, Defence View Phase 2",9800000.0,2.0,2.0,128
4029,"Diamond Residency, Defence View Phase 2",11500000.0,2.0,2.0,120
4030,"Diamond Residency, Defence View Phase 2",6500000.0,2.0,2.0,80
4031,"Diamond Residency, Defence View Phase 2",11000000.0,2.0,2.0,120
4032,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",5800000.0,2.0,2.0,78
4033,"Bahria Apartments, Bahria Town Karachi",6000000.0,2.0,2.0,103
4034,"Bahria Heights, Bahria Town Karachi",4000000.0,2.0,2.0,58
4035,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",10000000.0,2.0,2.0,111
4036,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",14500000.0,3.0,3.0,156
4037,"Askari 5 - Sector J, Askari 5",65000000.0,5.0,5.0,375
4038,"North Nazimabad - Block F, North Nazimabad",25000000.0,3.0,3.0,167
4039,"Clifton - Block 3, Clifton",26500000.0,3.0,3.0,189
4040,"Federal B Area - Block 9, Federal B Area",32500000.0,8.0,8.0,120
4041,"North Nazimabad, Karachi",8500000.0,2.0,3.0,83
4042,other,12000000.0,6.0,5.0,80
4043,"Tariq Road, Karachi",35000000.0,2.0,3.0,131
4044,"North Nazimabad - Block L, North Nazimabad",14000000.0,2.0,2.0,111
4045,"North Nazimabad - Block M, North Nazimabad",6500000.0,2.0,2.0,106
4046,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",21000000.0,3.0,3.0,150
4047,"Gulshan-e-Maymar, Gadap Town",7600000.0,3.0,3.0,150
4048,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar",14500000.0,3.0,3.0,200
4049,"Shadman Town - Sector-14/B, Shadman",10000000.0,2.0,2.0,120
4050,"North Nazimabad - Block F, North Nazimabad",14000000.0,3.0,3.0,139
4051,"North Nazimabad - Block B, North Nazimabad",18000000.0,3.0,4.0,200
4052,"North Nazimabad - Block F, North Nazimabad",22000000.0,3.0,4.0,244
4053,"North Nazimabad - Block H, North Nazimabad",19700000.0,3.0,3.0,233
4054,"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town",27000000.0,3.0,3.0,250
4055,"Federal B Area - Block 21, Federal B Area",25000000.0,4.0,5.0,120
4056,other,7500000.0,3.0,3.0,126
4057,"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town",28500000.0,3.0,3.0,240
4058,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal",25500000.0,3.0,3.0,240
4059,"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town",55000000.0,6.0,6.0,240
4060,"Gulistan-e-Jauhar, Karachi",29000000.0,3.0,3.0,175
4061,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",22500000.0,4.0,5.0,120
4062,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",20000000.0,3.0,3.0,200
4063,"Bahria Apartments, Bahria Town Karachi",21000000.0,3.0,3.0,250
4064,"Bahria Paradise, Bahria Town Karachi",45000000.0,5.0,5.0,500
4065,"Bahria Heights, Bahria Town Karachi",11000000.0,2.0,2.0,122
4066,"Bahria Apartments, Bahria Town Karachi",8500000.0,2.0,3.0,106
4067,other,11900000.0,2.0,2.0,145
4068,other,46900000.00000001,4.0,4.0,469
4069,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",16500000.0,3.0,3.0,240
4070,"North Nazimabad - Block L, North Nazimabad",8500000.0,2.0,2.0,100
4071,"Sea View Apartments, Karachi",55000000.0,3.0,3.0,300
4073,"Saadi Town - Block 4, Saadi Town",38000000.0,8.0,6.0,240
4074,"Gulistan-e-Jauhar - Block 18, Gulistan-e-Jauhar",4400000.0,2.0,2.0,100
4075,"Bahria Sports City, Bahria Town Karachi",21000000.0,5.0,3.0,350
4076,"Gulistan-e-Jauhar - Block 3, Gulistan-e-Jauhar",72500000.0,6.0,6.0,300
4080,"Gulzar-e-Hijri, Scheme 33",10000000.0,3.0,3.0,144
4082,"Gulshan-e-Iqbal - Block 13/D, Gulshan-e-Iqbal",10500000.0,3.0,3.0,144
4083,"DHA Phase 7, DHA Defence",66500000.0,4.0,6.0,250
4084,"Bahria Sports City, Bahria Town Karachi",19800000.0,4.0,5.0,350
4087,"North Nazimabad - Block D, North Nazimabad",14000000.0,3.0,3.0,200
4088,"DHA Phase 8, DHA Defence",53000000.0,4.0,5.0,120
4089,"DHA Phase 6, DHA Defence",80000000.0,3.0,4.0,300
4090,"SMCHS - Sindhi Muslim Society, Jamshed Town",35000000.0,4.0,5.0,244
4091,"Bahria Town - Precinct 2, Bahria Town Karachi",14800000.0,2.0,2.0,157
4092,"Gulshan-e-Maymar - Sector W, Gulshan-e-Maymar",55000000.0,6.0,6.0,400
4093,"Gulistan-e-Jauhar - Block 17, Gulistan-e-Jauhar",13000000.0,5.0,4.0,120
4094,other,6900000.0,2.0,2.0,80
4095,"Askari 5 - Sector J, Askari 5",43500000.0,4.0,4.0,367
4096,"DHA Phase 5, DHA Defence",105000000.0,4.0,5.0,500
4097,other,5000000.0,3.0,2.0,89
4098,"DHA Phase 5, DHA Defence",105000000.0,5.0,6.0,500
4099,other,8000000.0,2.0,2.0,120
4100,"Bahria Town - Precinct 2, Bahria Town Karachi",49700000.0,3.0,3.0,368
4101,"DHA Phase 8, DHA Defence",7500000.0,2.0,2.0,50
4104,"DHA Phase 7 Extension, DHA Defence",39000000.0,4.0,4.0,100
4108,other,140000000.0,5.0,5.0,500
4109,"DHA Phase 5, DHA Defence",87500000.0,5.0,5.0,500
4110,"DHA Phase 4, DHA Defence",33000000.0,3.0,4.0,222
4111,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",13400000.0,3.0,3.0,152
4112,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",16800000.0,3.0,3.0,200
4113,"Gulshan-e-Iqbal - Block 4A, Gulshan-e-Iqbal",5500000.0,2.0,2.0,74
4115,"HMR Waterfront, DHA Phase 8",125000000.0,4.0,5.0,389
4116,"DHA Phase 7, DHA Defence",82500000.0,5.0,5.0,500
4117,other,4650000.0,2.0,2.0,72
4118,"Gulshan-e-Iqbal - Block 11, Gulshan-e-Iqbal",62500000.0,6.0,6.0,240
4119,"Gulistan-e-Jauhar - Block 1, Gulistan-e-Jauhar",19500000.0,3.0,3.0,200
4120,"Saadi Town, Scheme 33",26000000.0,4.0,4.0,120
4121,"Clifton - Block 4, Clifton",77500000.0,4.0,5.0,250
4122,"Lateef Duplex Luxuria, Scheme 33 - Sector 35-A",22500000.0,4.0,5.0,300
4123,other,3800000.0,3.0,3.0,48
4124,other,12300000.0,6.0,5.0,80
4125,"DHA Phase 2 Extension, DHA Defence",17500000.0,3.0,3.0,164
4126,"Rahat Commercial Area, DHA Phase 6",23500000.0,3.0,4.0,189
4127,"Clifton - Block 4, Clifton",20000000.0,3.0,3.0,183
4128,"Clifton - Block 2, Clifton",21000000.0,3.0,3.0,200
4129,"Clifton - Block 2, Clifton",55000000.0,6.0,6.0,240
4130,"DHA Phase 6, DHA Defence",140000000.0,5.0,6.0,500
4131,"DHA Phase 7, DHA Defence",95000000.0,4.0,4.0,500
4132,"Navy Housing Scheme Karsaz, Karachi",79000000.0,5.0,6.0,467
4133,"DHA Phase 5, DHA Defence",12500000.0,2.0,2.0,100
4134,"Bahria Town - Precinct 19, Bahria Town Karachi",4450000.0,1.0,1.0,52
4135,other,5000000.0,1.0,1.0,67
4136,"Bahria Town - Precinct 19, Bahria Town Karachi",4500000.0,1.0,1.0,50
4137,"Bahria Town - Precinct 19, Bahria Town Karachi",4800000.0,1.0,1.0,50
4138,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",21300000.0,3.0,3.0,263
4139,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",10200000.0,2.0,2.0,133
4140,"Bahria Town Karachi, Karachi",10800000.0,2.0,2.0,185
4141,"Model Colony - Malir, Malir",21000000.0,4.0,4.0,110
4142,"DHA Phase 5, DHA Defence",20000000.0,2.0,2.0,189
4143,"Badar Commercial Area, DHA Phase 5",12500000.0,2.0,2.0,100
4144,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar",6200000.0,2.0,2.0,117
4145,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",9200000.0,2.0,2.0,107
4147,"North Nazimabad, Karachi",24000000.0,5.0,3.0,233
4148,"DHA Phase 5, DHA Defence",12500000.0,2.0,2.0,117
4149,"Sector 32 - Punjabi Saudagar City Phase 1, Scheme 33 - Sector 32",11900000.0,2.0,2.0,132
4150,"Frere Town, Karachi",35000000.0,3.0,2.0,200
4151,"DHA Phase 1, DHA Defence",72500000.0,6.0,6.0,500
4152,other,9500000.0,2.0,2.0,106
4153,other,7000000.0,2.0,2.0,83
4155,"DHA Phase 8, DHA Defence",50000000.0,4.0,4.0,100
4156,"North Nazimabad, Karachi",16500000.0,3.0,3.0,200
4157,"Naya Nazimabad, Karachi",10800000.0,2.0,2.0,159
4158,"DHA Phase 8, DHA Defence",150000000.0,5.0,6.0,500
4159,"Bahadurabad, Gulshan-e-Iqbal Town",40000000.0,4.0,4.0,244
4160,"DHA Phase 2 Extension, DHA Defence",17500000.0,3.0,3.0,164
4161,"Rahat Commercial Area, DHA Phase 6",23500000.0,3.0,4.0,189
4162,"Clifton - Block 4, Clifton",20000000.0,3.0,3.0,183
4163,"Clifton - Block 2, Clifton",21000000.0,3.0,3.0,200
4164,"Clifton - Block 2, Clifton",55000000.0,6.0,6.0,240
4165,"DHA Phase 6, DHA Defence",140000000.0,5.0,6.0,500
4166,"DHA Phase 7, DHA Defence",95000000.0,4.0,4.0,500
4167,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",16000000.0,3.0,3.0,200
4168,"Gulshan-e-Iqbal - Block 10-A, Gulshan-e-Iqbal",14500000.0,3.0,3.0,130
4169,"Shaz Residency, Gulshan-e-Iqbal Town",7000000.0,2.0,2.0,83
4170,"Amil Colony, Karachi",19000000.0,2.0,3.0,108
4171,"DHA Phase 5, DHA Defence",125000000.0,5.0,6.0,500
4172,other,9500000.0,3.0,3.0,128
4173,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",7650000.0,2.0,2.0,94
4174,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",5500000.0,2.0,2.0,70
4175,"Bath Island, Karachi",62500000.0,3.0,3.0,233
4177,other,11500000.0,2.0,2.0,132
4178,other,11500000.0,2.0,2.0,132
4179,other,13400000.0,3.0,3.0,154
4180,"Shaz Residency, Gulshan-e-Iqbal Town",8056000.0,2.0,2.0,81
4181,"Shaz Residency, Gulshan-e-Iqbal Town",8056000.0,2.0,2.0,81
4182,"Shaz Residency, Gulshan-e-Iqbal Town",12800000.0,2.0,2.0,128
4183,"Shaz Residency, Gulshan-e-Iqbal Town",12800000.0,2.0,2.0,128
4184,"Shaz Residency, Gulshan-e-Iqbal Town",12800000.0,2.0,2.0,128
4186,"DHA Phase 6, DHA Defence",21000000.0,4.0,5.0,200
4187,"North Nazimabad - Block I, North Nazimabad",54000000.0,4.0,4.0,400
4188,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar",22500000.0,3.0,4.0,200
4189,"Bahria Apartments, Bahria Town Karachi",6000000.0,2.0,2.0,103
4190,"DHA Phase 8, DHA Defence",135000000.0,6.0,6.0,500
4191,"Nazimabad 1, Nazimabad",11000000.0,3.0,3.0,156
4192,"Askari 5 - Sector J, Askari 5",64000000.0,5.0,5.0,375
4193,"Askari 5 - Sector J, Askari 5",64200000.0,5.0,5.0,375
4194,"Askari 5 - Sector J, Askari 5",64200000.0,5.0,5.0,375
4195,"Askari 5 - Sector J, Askari 5",64300000.0,5.0,5.0,375
4196,"Askari 5 - Sector J, Askari 5",64400000.00000001,5.0,5.0,375
4197,"Askari 5 - Sector J, Askari 5",64000000.0,5.0,5.0,375
4198,"Askari 5 - Sector J, Askari 5",64100000.0,5.0,5.0,375
4199,"Askari 5 - Sector J, Askari 5",64400000.00000001,5.0,5.0,375
4207,"Model Colony - Malir, Malir",23000000.0,6.0,6.0,145
4208,"Clifton - Block 5, Clifton",37500000.0,3.0,3.0,222
4209,"DHA Phase 7, DHA Defence",110000000.0,7.0,7.0,500
4210,"Bath Island, Karachi",62500000.0,3.0,3.0,233
4212,other,11500000.0,2.0,2.0,132
4213,other,11500000.0,2.0,2.0,132
4214,other,13400000.0,3.0,3.0,154
4215,"Shaz Residency, Gulshan-e-Iqbal Town",8056000.0,2.0,2.0,81
4216,"Shaz Residency, Gulshan-e-Iqbal Town",8056000.0,2.0,2.0,81
4217,"Gulshan-e-Jamal, Gulshan-e-Iqbal Town",17000000.0,3.0,3.0,150
4218,other,15000000.0,3.0,3.0,156
4219,"Gulistan-e-Jauhar - Block 19, Gulistan-e-Jauhar",6200000.0,3.0,3.0,111
4223,"Federal B Area - Block 13, Federal B Area",65000000.0,6.0,6.0,400
4225,"Shaz Residency, Gulshan-e-Iqbal Town",12800000.0,2.0,2.0,128
4226,"Shaz Residency, Gulshan-e-Iqbal Town",12800000.0,2.0,2.0,128
4227,"Shaz Residency, Gulshan-e-Iqbal Town",12800000.0,2.0,2.0,128
4229,"DHA Phase 6, DHA Defence",21000000.0,4.0,5.0,200
4230,"North Nazimabad - Block I, North Nazimabad",54000000.0,4.0,4.0,400
4231,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar",22500000.0,3.0,4.0,200
4232,"Bahria Apartments, Bahria Town Karachi",6000000.0,2.0,2.0,103
4233,"DHA Phase 8, DHA Defence",135000000.0,6.0,6.0,500
4234,"Nazimabad 1, Nazimabad",11000000.0,3.0,3.0,156
4235,"North Nazimabad - Block B, North Nazimabad",9500000.0,2.0,2.0,100
4236,"PECHS Block 2, PECHS",15800000.0,2.0,2.0,100
4237,"PECHS Block 2, PECHS",11700000.0,2.0,2.0,100
4238,other,27500000.0,4.0,4.0,333
4239,"Bahadurabad, Gulshan-e-Iqbal Town",27500000.0,4.0,4.0,333
4242,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",13799999.999999998,2.0,2.0,117
4243,"City Tower And Shopping Mall, University Road",9000000.0,2.0,2.0,94
4244,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",5500000.0,2.0,2.0,72
4245,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",12700000.0,2.0,2.0,139
4246,"Creek Vista, DHA Phase 8",68000000.0,3.0,5.0,361
4247,other,9500000.0,3.0,3.0,178
4248,"Tulip Tower, Saadi Road",10500000.0,2.0,2.0,139
4259,"P & T Colony, Karachi",6800000.0,3.0,3.0,139
4260,"Shaz Residency, Gulshan-e-Iqbal Town",9700000.0,2.0,2.0,128
4261,"Gulshan-e-Maymar - Sector Z, Gulshan-e-Maymar",35000000.0,6.0,6.0,200
4262,"Gulshan-e-Iqbal - Block 13/B, Gulshan-e-Iqbal",12000000.0,3.0,2.0,139
4263,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",72500000.0,6.0,6.0,240
4264,"Gulshan-e-Iqbal - Block 13/C, Gulshan-e-Iqbal",24000000.0,3.0,3.0,200
4265,"Frere Town, Karachi",25000000.0,3.0,3.0,222
4266,"Bahria Apartments, Bahria Town Karachi",4200000.0,1.0,1.0,58
4267,"Askari 5 - Sector J, Askari 5",64400000.00000001,5.0,5.0,375
4268,"Askari 5 - Sector J, Askari 5",64300000.0,5.0,5.0,375
4269,"Askari 5 - Sector J, Askari 5",64500000.0,5.0,5.0,375
4270,"Askari 5 - Sector J, Askari 5",64200000.0,5.0,5.0,375
4271,"Askari 5 - Sector J, Askari 5",64000000.0,5.0,5.0,375
4272,"Askari 5 - Sector J, Askari 5",64000000.0,5.0,5.0,375
4273,other,18500000.0,4.0,5.0,120
4274,"Bahria Town - Ali Block, Bahria Town - Precinct 12",15600000.0,3.0,3.0,125
4292,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",53500000.0,6.0,6.0,240
4293,"Rafi Premier Residency, Scheme 33",9200000.0,2.0,2.0,83
4294,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",18500000.0,6.0,6.0,120
4295,"Karachi Administration Employees Society, Jamshed Town",12500000.0,3.0,2.0,122
4296,"Clifton - Block 4, Clifton",16800000.0,3.0,3.0,156
4297,"Clifton - Block 4, Clifton",30000000.0,3.0,3.0,222
4298,"Federal B Area - Block 15, Federal B Area",6100000.0,2.0,2.0,80
4299,"DHA Phase 6, DHA Defence",100000000.0,6.0,7.0,600
4302,"P & T Colony, Karachi",6800000.0,3.0,3.0,139
4303,"Shaz Residency, Gulshan-e-Iqbal Town",9700000.0,2.0,2.0,128
4304,"Gulshan-e-Maymar - Sector Z, Gulshan-e-Maymar",35000000.0,6.0,6.0,200
4305,"Gulshan-e-Iqbal - Block 13/B, Gulshan-e-Iqbal",12000000.0,3.0,2.0,139
4306,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",72500000.0,6.0,6.0,240
4307,"Gulshan-e-Iqbal - Block 13/C, Gulshan-e-Iqbal",24000000.0,3.0,3.0,200
4308,"Frere Town, Karachi",25000000.0,3.0,3.0,222
4309,"Bahria Apartments, Bahria Town Karachi",4200000.0,1.0,1.0,58
4310,"Federal B Area - Block 2, Federal B Area",5200000.0,2.0,2.0,70
4311,"DHA Phase 5, DHA Defence",190000000.0,7.0,6.0,500
4312,"North Nazimabad - Block H, North Nazimabad",35000000.0,4.0,5.0,450
4313,"Scheme 33, Karachi",7500000.0,2.0,2.0,83
4314,"Government Teacher Housing Society - Sector 16-A, Scheme 33 - Sector 16-A",57500000.0,8.0,6.0,240
4315,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",18500000.0,3.0,3.0,200
4316,"Nazimabad, Karachi",7600000.0,2.0,3.0,106
4317,"North Nazimabad - Block H, North Nazimabad",18000000.0,3.0,3.0,156
4318,"DHA Phase 7, DHA Defence",105000000.0,3.0,3.0,600
4320,"DHA Phase 7 Extension, DHA Defence",49000000.0,4.0,4.0,120
4321,other,12000000.0,2.0,2.0,100
4323,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A",39000000.0,6.0,6.0,240
4324,"Emaar Pearl Towers, Emaar Crescent Bay",86500000.0,4.0,5.0,300
4325,"Bahria Town - Precinct 10-A, Bahria Town Karachi",18000000.0,3.0,3.0,250
4326,"Nazimabad, Karachi",5500000.0,2.0,2.0,61
4327,"Bath Island, Karachi",65000000.0,4.0,5.0,250
4328,"DHA Phase 6, DHA Defence",29000000.0,3.0,3.0,222
4329,"Clifton - Block 3, Clifton",41000000.0,4.0,4.0,244
4330,"Bahria Town - Precinct 25, Bahria Town Karachi",10000000.0,4.0,4.0,143
4331,"Emaar Panorama, DHA Phase 8",127300000.0,4.0,4.0,391
4332,"DHA Phase 2 Extension, DHA Defence",43000000.0,3.0,3.0,100
4333,"Shaz Residency, Gulshan-e-Iqbal Town",7500000.0,2.0,2.0,89
4334,"Shaz Residency, Gulshan-e-Iqbal Town",12700000.0,3.0,3.0,167
4335,"Bahria Town - Precinct 19, Bahria Town Karachi",8550000.0,2.0,2.0,106
